idx;cycle;minorCycle;seconds;objectiveNormal;objectiveAccelerated;approxMax;singleMax;restarting
0;0;0;0;2152,9853936729123;2152,9853936729123;2160720665,8430133;1,4535798;False
1;0;0;2,0012103;158,58412956795542;158,5913033022017;0,25178307;1,922017E-06;False
2;0;1;2,0012103;158,58412956795542;158,58412956795542;147969862,74079433;0,20756197;False
3;0;1;4,300493899999999;76,11820213732707;76,11891399929789;0,10148455;5,5592554E-05;False
4;0;1;6,483238699999999;76,11627696245293;76,11698998678439;8,94235E-05;1,6682111E-06;False
5;1;0;6,483238699999999;47,20017808056028;47,20017808056028;30193970,609443568;0,04072683;False
6;1;0;9,807970599999999;32,309369740493466;32,309460265252014;0,069126345;0,00036888034;False
7;1;0;13,0292576;32,26490828582039;32,264994615931656;0,0011166495;0,00019174465;False
8;1;0;16,2602977;32,252249767630275;32,25233131722991;0,00060862396;0,0001546201;False
9;1;0;19,4946022;32,24662509582908;32,24670298124694;0,00040709853;0,000120182376;False
10;1;0;22,7036132;32,24385731653037;32,24393279173649;0,00026277883;9,174151E-05;False
11;1;0;25,9486762;32,24215827705015;32,24222981404059;0,00025471568;7,956656E-05;False
12;1;0;29,2304959;32,241151071383506;32,24121966028566;0,00020388559;7,202735E-05;False
13;1;0;32,4683342;32,2404913964964;32,2405563612333;0,00013069059;5,6622524E-05;False
14;1;0;35,934173699999995;32,24007884373728;32,2401407389713;0,00014658005;4,0263396E-05;False
15;1;0;39,1716124;32,23979789417776;32,23985648716507;8,7929715E-05;3,699112E-05;False
16;1;0;42,3866757;32,239592667496744;32,23964898045332;8,584351E-05;3,6439615E-05;False
17;1;0;45,63072;32,23945486193418;32,23950815349409;7,994742E-05;3,323583E-05;False
18;1;0;48,8488922;32,239343696018594;32,2393948189135;6,0386585E-05;3,323583E-05;False
19;1;0;52,0973715;32,23925699357857;32,23930569248735;5,839318E-05;2,817573E-05;False
20;1;0;55,367575099999996;32,239185049396745;32,23923240435913;3,5992824E-05;2,789196E-05;False
21;2;0;55,367575099999996;31,409683156181877;31,409683156181877;8499948,835635053;0,0034191727;False
22;2;0;58,729269499999994;31,27054918341305;31,270566473888596;0,0053870324;0,00014250999;False
23;2;0;61,973071999999995;31,263763882606977;31,263782041652856;0,00020438363;8,9475194E-05;False
24;2;0;65,6468601;31,262737684540664;31,262756371410642;0,00011745491;8,9887646E-05;True
25;2;0;69,4727478;31,26237070346258;31,26237078835183;0,00029752997;2,6623518E-05;False
26;2;0;73,0052193;31,26227917542698;31,262279298236944;6,476103E-05;1,7910554E-05;False
27;2;0;76,3756667;31,26224513373016;31,262245279681192;3,0259136E-05;1,2396591E-05;False
28;2;0;79,7626126;31,262238772702116;31,262238853237317;2,175365E-05;8,554198E-06;False
29;3;0;79,7626126;31,323373373517462;31,323373373517462;8813060,079489257;0,00073303893;False
30;3;0;83,1389145;31,318746502226944;31,318746501863;0,0011448876;2,1560889E-05;False
31;3;0;86,5106897;31,318700532753354;31,31870035639282;0,00011563517;1,8421393E-05;False
32;3;0;89,8903168;31,318695007583504;31,318694726670547;7,541051E-05;1,7055816E-05;False
33;3;0;93,29350819999999;31,31869193983089;31,318691583437545;2,6408106E-05;1,7135364E-05;True
34;3;0;96,7139851;31,3186856391086;31,318685645167562;1,8792713E-05;5,0865196E-06;False
35;4;0;96,7139851;31,313646572188663;31,313646572188663;8694965,381743152;0,00013514108;False
36;4;0;100,0450302;31,313379161885678;31,313379135494937;0,0002113981;7,547201E-06;False
37;5;0;100,0450302;31,315231794126905;31,315231794126905;8716268,476928726;4,419492E-05;False
38;5;0;103,4004386;31,31520497485416;31,315204984550032;0,00016124782;5,817943E-06;False
