idx;cycle;seconds;objectiveNormal;objectiveAccelerated;processorCount;blockSize
0;0;0,5513085;1250,9909391282197;1250,9909391282197;0;0
1;0;1,0993477999999999;1251,0003335932774;1251,0003335932774;0;0
2;0;1,6166991;1251,0005188054076;1251,0005188054076;0;0
3;0;2,1220558;1251,0040142700645;1251,0040142700645;0;0
4;0;2,6501287;1250,9957000284537;1250,9957000284537;0;0
5;0;3,1133968999999997;1250,9952609187173;1250,9952609187173;0;0
6;0;3,6233632;1250,9984101578625;1250,9984101578625;0;0
7;0;4,105282;1250,99611711958;1250,99611711958;0;0
8;0;4,5781623;1250,9877207426284;1250,9877207426284;0;0
9;0;5,048451099999999;1250,9937083322836;1250,9937083322836;0;0
10;0;5,5464332;1250,9817943011064;1250,9817943011064;0;0
11;0;6,0295035;1250,9726903510984;1250,9726903510984;0;0
12;0;6,5334714;1250,9749421288045;1250,9749421288045;0;0
13;0;7,013399;1250,9660696124324;1250,9660696124324;0;0
14;0;7,5116155;1250,959740520961;1250,959740520961;0;0
15;0;8,0145871;1250,9529834086638;1250,9529834086638;0;0
16;0;8,491111199999999;1250,955533654279;1250,955533654279;0;0
17;0;8,9516048;1250,9456129213067;1250,9456129213067;0;0
18;0;9,4400935;1250,94284441985;1250,94284441985;0;0
19;0;9,9307843;1250,926233654866;1250,926233654866;0;0
20;0;10,4605499;1250,9204544137242;1250,9204544137242;0;0
21;0;10,9516843;1250,9280313260815;1250,9280313260815;0;0
22;0;11,4641132;1250,9272262327574;1250,9272262327574;0;0
23;0;11,9543093;1250,9168499267196;1250,9168499267196;0;0
24;0;12,4401099;1250,9114104961127;1250,9114104961127;0;0
25;0;12,9220315;1250,9101065935479;1250,9101065935479;0;0
26;0;13,391444499999999;1250,9009871986202;1250,9009871986202;0;0
27;0;13,910066599999999;1250,9010980836595;1250,9010980836595;0;0
28;0;14,3800586;1250,897373158644;1250,897373158644;0;0
29;0;14,870448199999998;1250,872935538058;1250,872935538058;0;0
30;0;15,4076547;1250,8698930316928;1250,8698930316928;0;0
31;0;15,9320633;1250,8719385464115;1250,8719385464115;0;0
32;0;16,4151152;1250,8571504276895;1250,8571504276895;0;0
33;0;16,9120956;1250,859299405793;1250,859299405793;0;0
34;0;17,4254714;1250,8576721327422;1250,8576721327422;0;0
35;0;17,9385488;1250,8607369344415;1250,8607369344415;0;0
36;0;18,4194124;1250,8538538067082;1250,8538538067082;0;0
37;0;18,8829836;1250,8437626812993;1250,8437626812993;0;0
38;0;19,3647877;1250,8362789177895;1250,8362789177895;0;0
39;0;19,8546415;1250,8422786368085;1250,8422786368085;0;0
40;0;20,3334674;1250,8339529985249;1250,8339529985249;0;0
41;0;20,8601199;1250,827274731361;1250,827274731361;0;0
42;0;21,3545512;1250,8213562616404;1250,8213562616404;0;0
43;0;21,8543974;1250,815150451987;1250,815150451987;0;0
44;0;22,354344599999997;1250,820189801818;1250,820189801818;0;0
45;0;22,845758;1250,8205230035226;1250,8205230035226;0;0
46;0;23,319890899999997;1250,8118576215538;1250,8118576215538;0;0
47;0;23,7931395;1250,8045054291329;1250,8045054291329;0;0
48;0;24,2851163;1250,788461834175;1250,788461834175;0;0
49;0;24,7676753;1250,7858843857216;1250,7858843857216;0;0
50;1;25,2500934;1239,6729040353148;1239,6729040353148;0;0
51;1;25,7051491;1239,6462522527454;1239,6462522527454;0;0
52;1;26,2179886;1239,6055797738902;1239,6055797738902;0;0
53;1;26,720577;1239,5635542684172;1239,5635542684172;0;0
54;1;27,2281078;1239,5364246944346;1239,5364246944346;0;0
55;1;27,7306433;1239,5133146938226;1239,5133146938226;0;0
56;1;28,2189;1239,4949373865145;1239,4949373865145;0;0
57;1;28,7128338;1239,4873028077677;1239,4873028077677;0;0
58;1;29,2119523;1239,4601108207871;1239,4601108207871;0;0
