idx;cycle;seconds;objectiveNormal;objectiveAccelerated;L2GExp;L2GCorr;processorCount;blockSize
0;0;0;2152,7771491935414;2152,7771491935414;2295345505,5892296;0;0;0
1;0;71,2643477;78,02731060376064;78,05802615554582;276031653,49751836;3,154134133813764E+18;0;0
2;0;138,1397826;77,58222604039575;77,61263845221339;276034299,66648966;3,430040618147564E+18;0;0
3;0;201,96769899999998;77,45027108080141;77,47983286544505;276044241,1024807;3,4207355812647496E+18;0;0
4;0;264,3877246;77,37508889917407;77,40450511520804;276015451,6864038;3,6293747427163796E+18;0;0
5;0;327,19722989999997;77,35926710174094;77,38739165627874;276027435,5249756;3,681443692187189E+18;0;0
6;0;389,2975325;77,34790947286666;77,37525502859538;276032330,9520386;3,714077934876521E+18;0;0
7;0;449,6677607;77,3513429827761;77,37737343949216;276045472,2399612;3,691093411181123E+18;0;0
8;0;510,19823859999997;77,34964232423118;77,37491848609115;276048881,69557935;3,673770967287219E+18;0;0
9;0;570,7266351999999;77,34739077521257;77,37210653021404;276048533,15833837;3,7154645528166697E+18;0;0
10;0;629,3781652;77,34860296580779;77,37257598709022;276051814,8411223;3,6965470207561277E+18;0;0
11;0;692,0892672;77,34804712430713;77,37150457568289;276051725,69837457;3,7052470754101176E+18;0;0
12;0;754,0894862;77,34818509533487;77,37111531487285;276052389,034736;3,6988900313434245E+18;0;0
13;0;814,4162685;77,34836479268931;77,37078996363813;276052780,9734034;3,7005999013606185E+18;0;0
14;1;814,4162685;48,69234127342743;48,69234127342743;34658480,87579141;0;0;0
15;1;903,0257056;29,394703735869516;29,395907359739773;9662138,574746376;1,8478794637869084E+18;0;0
16;1;992,3057759999999;29,31809904271535;29,319751908455277;9590161,754570846;2,306288881815286E+18;0;0
17;1;1081,0761638;29,283871768866327;29,285970233985672;9572006,036112197;2,599460264285593E+18;0;0
18;1;1169,3936463999999;29,261922113021924;29,26445206696461;9563838,83120767;2,7560247726810394E+18;0;0
19;1;1258,3156054;29,244891826669445;29,24783021927744;9559621,67613251;2,905085057590002E+18;0;0
20;1;1347,9587087999998;29,231555701517784;29,234866192881388;9558478,644423403;3,0263924821417426E+18;0;0
21;1;1437,0259114;29,220975054855582;29,22461986300798;9556504,758746378;3,1923071569666913E+18;0;0
22;1;1526,0146853;29,212543449481593;29,21648505865527;9557102,03690394;3,219497943234269E+18;0;0
23;1;1614,8727896;29,20535538930564;29,209546970033045;9556319,838273033;3,3710290807989473E+18;0;0
24;1;1703,1474583;29,198877093609518;29,203316160342283;9556189,24570296;3,4786324822607196E+18;0;0
25;1;1791,2998265;29,19396581158067;29,19857355368983;9555564,790737797;3,630581113052153E+18;0;0
26;1;1879,3141537000001;29,189384152657183;29,194167277296902;9554930,56475465;3,821048434502481E+18;0;0
27;1;1967,5458365999998;29,185554078718756;29,190473636235424;9554866,951996516;3,928234468753384E+18;0;0
28;1;2055,781179;29,18224761478151;29,187293051347517;9555089,694343824;4,0089501584448983E+18;0;0
29;1;2144,6053458;29,17917149933572;29,18433696942053;9555476,277420904;4,062420547237723E+18;0;0
30;2;2144,6053458;28,237369578630254;28,237369578630254;6201567,598623167;0;0;0
31;2;2231,92338;28,147800086407724;28,147798696285328;6334736,571222187;24045310326015828;0;0
32;2;2318,7822579000003;28,144259071909218;28,144294242198374;6337074,722786077;37887883523872744;0;0
33;2;2407,0116617000003;28,141289470722878;28,141386403748935;6338203,420767078;50911493608180800;0;0
34;2;2494,8808447;28,138711472842402;28,138885300052955;6339021,463669779;61797778078981970;0;0
35;2;2583,6038085;28,136372682106003;28,136634994825677;6339386,686161504;74385718493725360;0;0
36;2;2671,5016176;28,134451843999308;28,1347980767131;6339593,996240125;89524048910758480;0;0
37;2;2758,7582478;28,132537064987872;28,13298182681993;6339272,11119314;1,0411671809824715E+17;0;0
38;2;2846,3953838;28,130904844741288;28,131440467288357;6339651,753252213;1,2068992481584027E+17;0;0
39;2;2934,1625830000003;28,12941683184316;28,130042833135054;6339715,994476996;1,3741159186859554E+17;0;0
40;2;3021,7978851;28,12791994915695;28,12864707075531;6339704,376695168;1,5575467809536003E+17;0;0
41;2;3109,2341144;28,12662947962223;28,127446487603056;6340020,593718989;1,7906093891037658E+17;0;0
42;2;3196,6691172;28,125352638316315;28,12626547853198;6340308,065718299;2,0335687317523078E+17;0;0
43;2;3283,6642609;28,12422455942502;28,125224768000905;6340371,266322759;2,270097297260035E+17;0;0
44;2;3371,2276977;28,123165957264312;28,124251331735096;6340704,678083001;2,5406045923074426E+17;0;0
45;2;3459,0903969;28,12211244160197;28,123287738216774;6340779,492048703;2,8467513781728093E+17;0;0
46;3;3459,0903969;28,166034034457308;28,166034034457308;6446317,8883663155;0;0;0
47;3;3545,6201257000002;28,156414911628808;28,15642638338533;6377188,199260326;267869755153562,78;0;0
48;3;3631,8323442;28,1553020253192;28,15532966729593;6377041,263834934;427937435120361,1;0;0
49;3;3717,9944182;28,154207916014624;28,154261969463068;6376924,177471487;678001091224491,4;0;0
50;3;3804,9424812;28,153194231656904;28,153281619254464;6377016,7354281675;1034699911189162,9;0;0
51;3;3892,146873;28,152280609236982;28,152405180787596;6377168,839623953;1491301827555903;0;0
52;3;3979,3858274;28,1514075848865;28,151574010278217;6377202,906403256;2253589033562458;0;0
53;3;4070,1373823;28,15062702715101;28,15083604183308;6377348,4713306585;3235410670513537;0;0
54;3;4157,8634791;28,14986258640103;28,150117952851225;6377525,294419626;4536670126304284;0;0
