idx;cycle;seconds;objectiveNormal;objectiveAccelerated;L2GExp;L2GCorr;processorCount;blockSize
0;0;0;2152,7771491935414;2152,7771491935414;2295345505,5892296;0;0;0
1;0;301,9972886;86,31071994691041;86,85919090330039;274461782,5721862;6,317891106099316E+18;0;0
2;0;547,1594299;84,80525555851929;85,21821774292694;274985542,9051985;7,560458702779881E+18;0;0
3;0;773,061701;84,68266709125263;84,99923962357093;275259265,8647;8,406912555312092E+18;0;0
4;0;991,7201202;84,41287947476476;84,70336471489261;275345598,753738;8,922988085248555E+18;0;0
5;0;1200,2582902;84,17194832242647;84,45574781905927;275361189,09429294;9,431588193858925E+18;0;0
6;0;1407,5017768999999;84,10051806964407;84,36419008749347;275445659,7118681;9,509299986738348E+18;0;0
7;0;1606,2357221999998;83,99173611331905;84,2445467328684;275458663,95465726;9,841085117418043E+18;0;0
8;0;1802,5943942;83,90641670657486;84,1497575720766;275452143,55887645;1,0142568902172975E+19;0;0
9;0;1999,5448904999998;83,83198589571431;84,06985640464596;275507404,3014819;9,821754310211023E+18;0;0
10;0;2188,4918869999997;83,78594659152361;84,0113072025091;275533733,2736632;1,0101642360255384E+19;0;0
11;0;2376,4967342;83,76398134394971;83,9741376826882;275586976,53395575;9,904597836930257E+18;0;0
12;0;2564,4932578;83,74915533731496;83,94342677027424;275605821,3069106;9,994114758114734E+18;0;0
13;0;2749,7868506;83,73816540442571;83,91844543927073;275619001,13074106;1,006290931616454E+19;0;0
14;0;2936,6800842;83,74217197331342;83,90504524629218;275651168,7571506;9,875284703056867E+18;0;0
15;0;3126,0309565;83,72889549299657;83,88225727461716;275681070,70643014;9,940527478880205E+18;0;0
16;1;3126,0309565;55,34499614732592;55,34499614732592;39050503,54401133;0;0;0
17;1;3445,1263332999997;31,09278409463652;31,1636316199584;11635877,040349407;1,1632587854026378E+18;0;0
18;1;3765,1902278;30,233782594462163;30,283448558472774;10413149,614004124;2,847112129462895E+18;0;0
19;1;4083,6277081;30,031742926689873;30,067595172426564;10144800,342988808;4,031437331045836E+18;0;0
20;1;4406,6359443;29,928034070798212;29,960076708515885;10056462,692656582;4,759618214010538E+18;0;0
21;1;4727,420601899999;29,859838382630446;29,892003353889805;10011791,1893828;5,236509054382438E+18;0;0
22;1;5044,9791577999995;29,80379591816095;29,83858114290616;9988623,112177495;5,502234811100072E+18;0;0
23;1;5364,731556999999;29,761186499824746;29,799101033888046;9975686,618413879;5,616327154465705E+18;0;0
24;1;5684,1111937999995;29,722420013939697;29,763031307948452;9965447,590125235;5,812583180766722E+18;0;0
25;1;6000,9320579;29,690906656014278;29,73353070590397;9958966,336583044;5,970101923192465E+18;0;0
26;1;6320,1931834;29,66370331812114;29,707893414691743;9954425,457178276;6,110500629738452E+18;0;0
27;1;6636,611644;29,641628415770732;29,686920459809436;9952481,871917456;6,126255108619751E+18;0;0
28;1;6954,499625799999;29,622074648008837;29,667833185666574;9950916,394197924;6,320207719947468E+18;0;0
29;1;7269,946991899999;29,605190686552252;29,651395374848562;9949479,895482438;6,487177236868742E+18;0;0
30;1;7586,3758916;29,58894038749076;29,635482684431224;9947074,02773559;6,783867269560369E+18;0;0
31;1;7904,1245321999995;29,57593478836329;29,622348320932506;9948330,828635782;6,974167892068178E+18;0;0
32;2;7904,1245321999995;28,541025981223953;28,541025981223953;6097694,10639062;0;0;0
33;2;8217,871609;28,376801773821832;28,377979742245184;6255127,881903101;6594103616691456;0;0
34;2;8537,0306852;28,348609266504155;28,3504146434028;6283774,752930282;25801072545054256;0;0
35;2;8851,327306899999;28,333558022529775;28,335967034693905;6292709,557396623;49205549388884250;0;0
36;2;9167,419710799999;28,321507933743888;28,32471860789377;6293740,424928666;73305947480644180;0;0
37;2;9480,548157199999;28,312225239580787;28,31619825881723;6293666,815580021;98785229858411680;0;0
38;2;9794,745952399999;28,303858898900387;28,30875191841755;6293938,411158416;1,218957282612785E+17;0;0
39;2;10110,0568205;28,29535562603455;28,301377541958995;6292881,225362045;1,4562696498880733E+17;0;0
40;2;10423,9483188;28,287975785040828;28,295032095797627;6292300,623583372;1,726620964726125E+17;0;0
41;2;10737,3719857;28,28075824077962;28,28891845958439;6292475,156649368;2,0017416356067235E+17;0;0
42;2;11048,461927999999;28,273868716318702;28,283138801667626;6291190,2218694445;2,2707063401471965E+17;0;0
43;2;11366,4557902;28,26746010583291;28,27779139940311;6290814,020955457;2,5790009540001085E+17;0;0
44;2;11682,9764273;28,261226603689142;28,2726153597596;6290429,642422406;2,949210498669943E+17;0;0
45;2;11999,6336344;28,255402306246737;28,267777784804608;6289489,906134932;3,3105592146596877E+17;0;0
46;2;12317,236751699998;28,249953764930122;28,26322829110282;6288869,348533323;3,7368169417679597E+17;0;0
47;2;12632,277816499998;28,24461535770936;28,25879161101271;6288191,737210841;4,173774771775141E+17;0;0
48;3;12632,277816499998;28,2884386505968;28,2884386505968;6391789,340550063;0;0;0
49;3;12940,441687099998;28,27864957131144;28,27876067684236;6353263,687957798;115270501407389,66;0;0
50;3;13268,122127099998;28,274532545510404;28,274860255911438;6351079,084195581;317162017064981,2;0;0
51;3;13595,879117499999;28,270882210833005;28,271511523203632;6350306,161333891;578924052749798;0;0
52;3;13927,174347699998;28,267202618634414;28,268234049765482;6349138,912914035;995980605053862;0;0
53;3;14261,553191099998;28,26360819038902;28,265105325962125;6348705,525226032;1541777798079565,5;0;0
54;3;14597,151243299999;28,260213329267074;28,2622075786683;6347715,198985352;2246106878547875,2;0;0
55;3;14929,082510499999;28,256687041180108;28,259259726214374;6347599,916611921;3277377632303575;0;0
56;3;15260,174418499999;28,25336795674498;28,256516535676848;6347051,235772844;4369559556195506;0;0
57;3;15595,930965099999;28,250048588234506;28,253811072795603;6346809,422463313;5789467603508722;0;0
58;3;15928,033371999998;28,247009089398492;28,251346477549596;6346702,140802277;7580238896737488;0;0
59;3;16264,814632699998;28,24391250408516;28,24886353228508;6346510,090757368;9137692230442688;0;0
60;3;16598,1073161;28,240961486348393;28,2465059772223;6345860,208931504;11512011056113938;0;0
61;3;16929,2369922;28,23808616867006;28,24422658007202;6345794,327880989;14421167861106786;0;0
62;3;17264,0293388;28,235288041918515;28,242010102043423;6345763,566329911;17960921560032042;0;0
63;3;17598,0890888;28,232246938610594;28,239643177551518;6345160,715798957;23686589625196740;0;0
64;4;17598,0890888;28,215229947371053;28,215229947371053;6322523,936000458;0;0;0
65;4;17909,5190347;28,214410899906603;28,214432241318036;6340749,919836455;20260462796643,348;0;0
