cycle;lambda;sidelobe;dataPenalty;regPenalty;currentRegPenalty;converged;iterCount;ElapsedTime
0;6894,153;689,4153;3157,06610981204;0;0;True;19839;584,4090502
1;678,9015;67,89015;2123,55518187628;180,795908771775;180,795908771775;False;20000;589,4514731
2;6925,235;692,5236;3159,25685373846;25,5315966406779;25,5315966406779;False;20000;589,2306406
3;629,9716;62,99715;2168,43792250832;185,617524214642;185,617524214642;False;20000;593,3082091
4;6943,593;694,3593;3178,9597708793;28,3731215111598;28,3731215111598;False;20000;590,279887
5;594,0678;59,40678;2191,00085938319;189,551033263587;189,551033263587;False;20000;593,7114143
6;6962,695;696,2695;3197,70621254656;34,3282875559212;34,3282875559212;False;20000;589,4675295
7;559,3362;55,93362;2215,89940371284;194,280177564271;194,280177564271;False;20000;590,0226357
8;6992,377;699,2377;3231,14000728204;43,1952282911602;43,1952282911602;False;20000;592,1889151
9;517,9312;51,79312;2261,90372114227;199,768597745462;199,768597745462;False;20000;594,2542407
