cycle;lambda;sidelobe;dataPenalty;regPenalty;currentRegPenalty;converged;iterCount;ElapsedTime
0;1737,6007;173,76007;2152,7771491935414;0;0;True;9220;138,3302338
1;187,18474;18,718473;63,92735030251384;62,05655169113015;43,22532380852499;True;19450;292,4438814
2;104,81095;4,6591053;22,93380893828822;74,3426877004838;51,78319881030143;True;22113;332,3663199
3;104,81095;3,2844677;15,45601566014412;78,9677118608691;55,00474686770413;True;15698;236,0078594
4;104,81095;2,9647927;17,35730389852104;77,4014548203392;53,9137748031272;True;9347;140,7998531
5;104,81095;2,6242867;16,324809825344282;78,1460070179355;54,43239061470807;True;8009;120,5074389
6;104,81095;2,6451957;16,744000867827754;77,8327603595073;54,21419949643723;True;6477;97,589134
7;104,81095;2,5500238;16,539781610671014;78,0067777199376;54,33541086203809;True;6097;92,0233453
8;104,81095;2,5818653;16,652273741290607;77,95695715265352;54,300708402553994;True;5639;85,0551387
9;104,81095;2,55079;16,649585338413974;78,01233883892037;54,33928433303953;True;5881;88,5856316
